started_at,ended_at,start_station_name,end_station_name,member_casual,rideable_type,trip_duration_min
2024-10-19 16:45:32.961,2024-10-19 17:01:04.260,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,15.52165
2024-10-08 18:12:02.005,2024-10-08 18:27:32.093,DuSable Lake Shore Dr & Belmont Ave,,member,electric_bike,15.501466666666666
2024-10-05 17:52:55.295,2024-10-05 18:08:23.695,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Wellington Ave,member,classic_bike,15.473333333333333
2024-10-24 16:56:52.844,2024-10-24 17:12:20.813,DuSable Lake Shore Dr & Monroe St,,casual,electric_bike,15.46615
2024-10-18 17:19:31.199,2024-10-18 17:34:56.713,Lakefront Trail & Bryn Mawr Ave,Broadway & Waveland Ave,member,classic_bike,15.425233333333333
2024-10-11 16:11:59.006,2024-10-11 16:27:19.361,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,15.33925
2024-10-23 08:39:32.580,2024-10-23 08:54:51.483,DuSable Lake Shore Dr & Diversey Pkwy,Sheffield Ave & Webster Ave,member,classic_bike,15.315050000000001
2024-10-26 08:38:04.434,2024-10-26 08:53:23.051,DuSable Lake Shore Dr & Diversey Pkwy,Clifton Ave & Armitage Ave,member,classic_bike,15.310283333333333
2024-10-07 17:55:54.244,2024-10-07 18:11:12.458,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,15.303566666666667
2024-10-20 17:06:39.584,2024-10-20 17:21:57.232,Lakefront Trail & Bryn Mawr Ave,Clarendon Ave & Junior Ter,casual,classic_bike,15.294133333333333
2024-10-04 17:51:03.166,2024-10-04 18:06:14.174,DuSable Lake Shore Dr & Belmont Ave,Southport Ave & Clybourn Ave,member,electric_bike,15.183466666666668
2024-10-17 16:41:57.172,2024-10-17 16:57:06.692,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,member,classic_bike,15.158666666666667
2024-10-28 08:54:36.729,2024-10-28 09:09:43.977,DuSable Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,member,electric_bike,15.120800000000001
2024-10-19 16:08:15.255,2024-10-19 16:23:21.252,DuSable Lake Shore Dr & Belmont Ave,Lincoln Park Conservatory,casual,classic_bike,15.09995
2024-10-11 17:24:22.863,2024-10-11 17:39:27.188,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,15.072083333333333
2024-10-14 07:11:29.419,2024-10-14 07:26:29.537,DuSable Lake Shore Dr & Monroe St,Wells St & Randolph St,casual,electric_bike,15.001966666666668
